onset	duration	sample	trial_type	value
618.646	0.002	309324	Response	CR
618.848	0.002	309425	Stimulus	S120
620	0.002	310001	Scanner	Scan Start
622	0.002	311001	Scanner	Scan Start
624	0.002	312001	Scanner	Scan Start
625.058	0.002	312530	Stimulus	S 30
625.772	0.002	312887	Response	CR
625.974	0.002	312988	Stimulus	S140
626	0.002	313001	Scanner	Scan Start
628	0.002	314001	Scanner	Scan Start
630	0.002	315001	Scanner	Scan Start
632	0.002	316001	Scanner	Scan Start
633.038	0.002	316520	Stimulus	S 40
633.61	0.002	316806	Response	CR
633.812	0.002	316907	Stimulus	S120
634	0.002	317001	Scanner	Scan Start
636	0.002	318001	Scanner	Scan Start
638	0.002	319001	Scanner	Scan Start
640	0.002	320001	Scanner	Scan Start
642	0.002	321001	Scanner	Scan Start
643.058	0.002	321530	Stimulus	S 10
643.824	0.002	321913	Response	MISS
644	0.002	322001	Scanner	Scan Start
644.024	0.002	322013	Stimulus	S160
646	0.002	323001	Scanner	Scan Start
648	0.002	324001	Scanner	Scan Start
650	0.002	325001	Scanner	Scan Start
652	0.002	326001	Scanner	Scan Start
653.038	0.002	326520	Stimulus	S 30
653.77	0.002	326886	Response	CR
653.97	0.002	326986	Stimulus	S140
654	0.002	327001	Scanner	Scan Start
656	0.002	328001	Scanner	Scan Start
658	0.002	329001	Scanner	Scan Start
660	0.002	330001	Scanner	Scan Start
661.038	0.002	330520	Stimulus	S 20
662	0.002	331001	Scanner	Scan Start
662.564	0.002	331283	Response	FA
662.764	0.002	331383	Stimulus	S150
664	0.002	332001	Scanner	Scan Start
666	0.002	333001	Scanner	Scan Start
668	0.002	334001	Scanner	Scan Start
670	0.002	335001	Scanner	Scan Start
671.056	0.002	335529	Stimulus	S 40
671.692	0.002	335847	Response	CR
671.892	0.002	335947	Stimulus	S110
672	0.002	336001	Scanner	Scan Start
674	0.002	337001	Scanner	Scan Start
676	0.002	338001	Scanner	Scan Start
678	0.002	339001	Scanner	Scan Start
679.076	0.002	339539	Stimulus	S 20
680	0.002	340001	Scanner	Scan Start
680.338	0.002	340170	Response	CR
680.538	0.002	340270	Stimulus	S120
682	0.002	341001	Scanner	Scan Start
684	0.002	342001	Scanner	Scan Start
686	0.002	343001	Scanner	Scan Start
688	0.002	344001	Scanner	Scan Start
689.018	0.002	344510	Stimulus	S 10
690	0.002	345001	Scanner	Scan Start
690.062	0.002	345032	Response	MISS
690.264	0.002	345133	Stimulus	S180
692	0.002	346001	Scanner	Scan Start
694	0.002	347001	Scanner	Scan Start
696	0.002	348001	Scanner	Scan Start
697.094	0.002	348548	Stimulus	S 40
697.95	0.002	348976	Response	CR
698	0.002	349001	Scanner	Scan Start
699.65	0.002	349826	Stimulus	S111
700	0.002	350001	Scanner	Scan Start
702	0.002	351001	Scanner	Scan Start
704	0.002	352001	Scanner	Scan Start
705.018	0.002	352510	Stimulus	S 10
706	0.002	353001	Scanner	Scan Start
706.324	0.002	353163	Response	MISS
706.524	0.002	353263	Stimulus	S160
708	0.002	354001	Scanner	Scan Start
710	0.002	355001	Scanner	Scan Start
712	0.002	356001	Scanner	Scan Start
713.038	0.002	356520	Stimulus	S 30
713.838	0.002	356920	Response	CR
714	0.002	357001	Scanner	Scan Start
714.04	0.002	357021	Stimulus	S130
716	0.002	358001	Scanner	Scan Start
718	0.002	359001	Scanner	Scan Start
720	0.002	360001	Scanner	Scan Start
721.094	0.002	360548	Stimulus	S 20
722	0.002	361001	Scanner	Scan Start
722.234	0.002	361118	Response	CR
722.434	0.002	361218	Stimulus	S120
724	0.002	362001	Scanner	Scan Start
726	0.002	363001	Scanner	Scan Start
728	0.002	364001	Scanner	Scan Start
730	0.002	365001	Scanner	Scan Start
731.094	0.002	365548	Stimulus	S 30
731.976	0.002	365989	Response	CR
732	0.002	366001	Scanner	Scan Start
732.176	0.002	366089	Stimulus	S140
734	0.002	367001	Scanner	Scan Start
736	0.002	368001	Scanner	Scan Start
738	0.002	369001	Scanner	Scan Start
740	0.002	370001	Scanner	Scan Start
741.076	0.002	370539	Stimulus	S 40
741.898	0.002	370950	Response	CR
742	0.002	371001	Scanner	Scan Start
742.098	0.002	371050	Stimulus	S130
744	0.002	372001	Scanner	Scan Start
746	0.002	373001	Scanner	Scan Start
748	0.002	374001	Scanner	Scan Start
750	0.002	375001	Scanner	Scan Start
751.02	0.002	375511	Stimulus	S 30
751.972	0.002	375987	Response	CR
752	0.002	376001	Scanner	Scan Start
752.172	0.002	376087	Stimulus	S110
754	0.002	377001	Scanner	Scan Start
756	0.002	378001	Scanner	Scan Start
758	0.002	379001	Scanner	Scan Start
760	0.002	380001	Scanner	Scan Start
761.038	0.002	380520	Stimulus	S 20
762	0.002	381001	Scanner	Scan Start
762.434	0.002	381218	Response	CR
762.634	0.002	381318	Stimulus	S130
764	0.002	382001	Scanner	Scan Start
766	0.002	383001	Scanner	Scan Start
768	0.002	384001	Scanner	Scan Start
769.038	0.002	384520	Stimulus	S 10
770	0.002	385001	Scanner	Scan Start
770.128	0.002	385065	Response	MISS
770.33	0.002	385166	Stimulus	S170
772	0.002	386001	Scanner	Scan Start
774	0.002	387001	Scanner	Scan Start
776	0.002	388001	Scanner	Scan Start
777.096	0.002	388549	Stimulus	S 30
778	0.002	389001	Scanner	Scan Start
778.018	0.002	389010	Response	CR
779.718	0.002	389860	Stimulus	S121
780	0.002	390001	Scanner	Scan Start
